,City,Date,AQI
1,Bengaluru,2015 Mar,130.5454545
2,Bengaluru,2015 Apr,113.7333333
3,Bengaluru,2015 May,102.7741935
4,Bengaluru,2015 Jun,108.3
5,Bengaluru,2015 Jul,160.5483871
6,Bengaluru,2015 Aug,134.8709677
7,Bengaluru,2015 Sep,98.36666667
8,Bengaluru,2015 Oct,105.3225806
9,Bengaluru,2015 Nov,83.93333333
10,Bengaluru,2015 Dec,97.4516129
11,Bengaluru,2016 Jan,134.3225806
12,Bengaluru,2016 Feb,143.8965517
13,Bengaluru,2016 Mar,145.5806452
14,Bengaluru,2016 Apr,122
15,Bengaluru,2016 May,67.87096774
16,Bengaluru,2016 Jun,67.1
17,Bengaluru,2016 Jul,110.3870968
18,Bengaluru,2016 Aug,64.41935484
19,Bengaluru,2016 Sep,72.33333333
20,Bengaluru,2016 Oct,116.6129032
21,Bengaluru,2016 Nov,110.7
22,Bengaluru,2016 Dec,115.3870968
23,Bengaluru,2017 Jan,114.6129032
24,Bengaluru,2017 Feb,119.1785714
25,Bengaluru,2017 Mar,81.19354839
26,Bengaluru,2017 Apr,92
27,Bengaluru,2017 May,66.96774194
28,Bengaluru,2017 Jun,59.7
29,Bengaluru,2017 Jul,94.32258065
30,Bengaluru,2017 Aug,83
31,Bengaluru,2017 Sep,72.46666667
32,Bengaluru,2017 Oct,89.67741935
33,Bengaluru,2017 Nov,77.23333333
34,Bengaluru,2017 Dec,96.67741935
35,Bengaluru,2018 Jan,97.58064516
36,Bengaluru,2018 Feb,81
37,Bengaluru,2018 Mar,92.58064516
38,Bengaluru,2018 Apr,86.2
39,Bengaluru,2018 May,92.29032258
40,Bengaluru,2018 Jun,66.93333333
41,Bengaluru,2018 Jul,61.77419355
42,Bengaluru,2018 Aug,62.83870968
43,Bengaluru,2018 Sep,76.16666667
44,Bengaluru,2018 Oct,94.70967742
45,Bengaluru,2018 Nov,104.2
46,Bengaluru,2018 Dec,119
47,Bengaluru,2019 Jan,116.8064516
48,Bengaluru,2019 Feb,106.25
49,Bengaluru,2019 Mar,122.1290323
50,Bengaluru,2019 Apr,124.3
51,Bengaluru,2019 May,105.3870968
52,Bengaluru,2019 Jun,70.53333333
53,Bengaluru,2019 Jul,63.74193548
54,Bengaluru,2019 Aug,59.35483871
55,Bengaluru,2019 Sep,72.96666667
56,Bengaluru,2019 Oct,81.12903226
57,Bengaluru,2019 Nov,96.2
58,Bengaluru,2019 Dec,81.77419355
59,Bengaluru,2020 Jan,95.32258065
60,Bengaluru,2020 Feb,96.48275862
61,Bengaluru,2020 Mar,90.74193548
62,Bengaluru,2020 Apr,68.53333333
63,Bengaluru,2020 May,73.16129032
64,Bengaluru,2020 Jun,55.16666667
65,Bengaluru,2020 Jul,43
66,Chennai,2015 Mar,381
67,Chennai,2015 Apr,178.2666667
68,Chennai,2015 May,176.1290323
69,Chennai,2015 Jun,152.2
70,Chennai,2015 Jul,164.0645161
71,Chennai,2015 Aug,122.6129032
72,Chennai,2015 Sep,120.7333333
73,Chennai,2015 Oct,143.5806452
74,Chennai,2015 Nov,120.6333333
75,Chennai,2015 Dec,117.9354839
76,Chennai,2016 Jan,143.8387097
77,Chennai,2016 Feb,155.4137931
78,Chennai,2016 Mar,155.0645161
79,Chennai,2016 Apr,133.1666667
80,Chennai,2016 May,129.2580645
81,Chennai,2016 Jun,93.83333333
82,Chennai,2016 Jul,91.93548387
83,Chennai,2016 Aug,134.7419355
84,Chennai,2016 Sep,184.9333333
85,Chennai,2016 Oct,150.0322581
86,Chennai,2016 Nov,140.9333333
87,Chennai,2016 Dec,99.87096774
88,Chennai,2017 Jan,124.4193548
89,Chennai,2017 Feb,120.3571429
90,Chennai,2017 Mar,110.6451613
91,Chennai,2017 Apr,105.6
92,Chennai,2017 May,121.5806452
93,Chennai,2017 Jun,80.76666667
94,Chennai,2017 Jul,102
95,Chennai,2017 Aug,93.58064516
96,Chennai,2017 Sep,88.43333333
97,Chennai,2017 Oct,104.8709677
98,Chennai,2017 Nov,92.13333333
99,Chennai,2017 Dec,106.4193548
100,Chennai,2018 Jan,153.7096774
101,Chennai,2018 Feb,116.1428571
102,Chennai,2018 Mar,108.7419355
103,Chennai,2018 Apr,69.16666667
104,Chennai,2018 May,82.80645161
105,Chennai,2018 Jun,96.86666667
106,Chennai,2018 Jul,93.32258065
107,Chennai,2018 Aug,86.48387097
108,Chennai,2018 Sep,96.46666667
109,Chennai,2018 Oct,104.0322581
110,Chennai,2018 Nov,118.8333333
111,Chennai,2018 Dec,139.0322581
112,Chennai,2019 Jan,131
113,Chennai,2019 Feb,118.0714286
114,Chennai,2019 Mar,101.4193548
115,Chennai,2019 Apr,87.53333333
116,Chennai,2019 May,103.6129032
117,Chennai,2019 Jun,112.6666667
118,Chennai,2019 Jul,88.70967742
119,Chennai,2019 Aug,85.5483871
120,Chennai,2019 Sep,103.6333333
121,Chennai,2019 Oct,102.9032258
122,Chennai,2019 Nov,121.9666667
123,Chennai,2019 Dec,80.16129032
124,Chennai,2020 Jan,87.51612903
125,Chennai,2020 Feb,78.13793103
126,Chennai,2020 Mar,70.29032258
127,Chennai,2020 Apr,63.5
128,Chennai,2020 May,78.67741935
129,Chennai,2020 Jun,103.0666667
130,Chennai,2020 Jul,92
131,Delhi,2015 Jan,342.2903226
132,Delhi,2015 Feb,327.9285714
133,Delhi,2015 Mar,256.0645161
134,Delhi,2015 Apr,305.2666667
135,Delhi,2015 May,348.5806452
136,Delhi,2015 Jun,258.3333333
137,Delhi,2015 Jul,200.2903226
138,Delhi,2015 Aug,218.0645161
139,Delhi,2015 Sep,225.3
140,Delhi,2015 Oct,325
141,Delhi,2015 Nov,405.0333333
142,Delhi,2015 Dec,355.3225806
143,Delhi,2016 Jan,441.9032258
144,Delhi,2016 Feb,312.4482759
145,Delhi,2016 Mar,230.0967742
146,Delhi,2016 Apr,290.6666667
147,Delhi,2016 May,268.3548387
148,Delhi,2016 Jun,243.7333333
149,Delhi,2016 Jul,164.9032258
150,Delhi,2016 Aug,147.4193548
151,Delhi,2016 Sep,218.7
152,Delhi,2016 Oct,411.0645161
153,Delhi,2016 Nov,474.8333333
154,Delhi,2016 Dec,409.2903226
155,Delhi,2017 Jan,354.1935484
156,Delhi,2017 Feb,343.9285714
157,Delhi,2017 Mar,282.2580645
158,Delhi,2017 Apr,316.8
159,Delhi,2017 May,315.4193548
160,Delhi,2017 Jun,144.0666667
161,Delhi,2017 Jul,67.16129032
162,Delhi,2017 Aug,69.70967742
163,Delhi,2017 Sep,114.6666667
164,Delhi,2017 Oct,284.1612903
165,Delhi,2017 Nov,406.7333333
166,Delhi,2017 Dec,337.1290323
167,Delhi,2018 Jan,349.7419355
168,Delhi,2018 Feb,289.1785714
169,Delhi,2018 Mar,234.1290323
170,Delhi,2018 Apr,245.5333333
171,Delhi,2018 May,235.3225806
172,Delhi,2018 Jun,224.3666667
173,Delhi,2018 Jul,112.4193548
174,Delhi,2018 Aug,122.0645161
175,Delhi,2018 Sep,121.9333333
176,Delhi,2018 Oct,290.4193548
177,Delhi,2018 Nov,367.0666667
178,Delhi,2018 Dec,400.3870968
179,Delhi,2019 Jan,365.7419355
180,Delhi,2019 Feb,258.1785714
181,Delhi,2019 Mar,197.3548387
182,Delhi,2019 Apr,219.4
183,Delhi,2019 May,235.8387097
184,Delhi,2019 Jun,197.7666667
185,Delhi,2019 Jul,145.0967742
186,Delhi,2019 Aug,99.29032258
187,Delhi,2019 Sep,106.5333333
188,Delhi,2019 Oct,251
189,Delhi,2019 Nov,356.1
190,Delhi,2019 Dec,353.9032258
191,Delhi,2020 Jan,308.4516129
192,Delhi,2020 Feb,262.137931
193,Delhi,2020 Mar,135.8387097
194,Delhi,2020 Apr,113
195,Delhi,2020 May,148.6451613
196,Delhi,2020 Jun,125.7333333
197,Delhi,2020 Jul,101
198,Hyderabad,2015 Mar,120
199,Hyderabad,2015 Apr,136.9666667
200,Hyderabad,2015 May,133.3870968
201,Hyderabad,2015 Jun,155.5333333
202,Hyderabad,2015 Jul,78.48387097
203,Hyderabad,2015 Aug,132.9354839
204,Hyderabad,2015 Sep,170.1
205,Hyderabad,2015 Oct,217.0645161
206,Hyderabad,2015 Nov,139.1666667
207,Hyderabad,2015 Dec,124.7419355
208,Hyderabad,2016 Jan,170.5483871
209,Hyderabad,2016 Feb,148.4482759
210,Hyderabad,2016 Mar,118.3225806
211,Hyderabad,2016 Apr,109.7333333
212,Hyderabad,2016 May,104.483871
213,Hyderabad,2016 Jun,139.0333333
214,Hyderabad,2016 Jul,156.2258065
215,Hyderabad,2016 Aug,122.6451613
216,Hyderabad,2016 Sep,71.66666667
217,Hyderabad,2016 Oct,91.77419355
218,Hyderabad,2016 Nov,125.1666667
219,Hyderabad,2016 Dec,112.4516129
220,Hyderabad,2017 Jan,149.4193548
221,Hyderabad,2017 Feb,148.1428571
222,Hyderabad,2017 Mar,135
223,Hyderabad,2017 Apr,148.1666667
224,Hyderabad,2017 May,113.1935484
225,Hyderabad,2017 Jun,74.13333333
226,Hyderabad,2017 Jul,61.58064516
227,Hyderabad,2017 Aug,64.41935484
228,Hyderabad,2017 Sep,68.8
229,Hyderabad,2017 Oct,121.3870968
230,Hyderabad,2017 Nov,120.3666667
231,Hyderabad,2017 Dec,143.7419355
232,Hyderabad,2018 Jan,143.0967742
233,Hyderabad,2018 Feb,112.3571429
234,Hyderabad,2018 Mar,113.0645161
235,Hyderabad,2018 Apr,96.26666667
236,Hyderabad,2018 May,98.74193548
237,Hyderabad,2018 Jun,65.6
238,Hyderabad,2018 Jul,54.25806452
239,Hyderabad,2018 Aug,54.09677419
240,Hyderabad,2018 Sep,79.03333333
241,Hyderabad,2018 Oct,110.0645161
242,Hyderabad,2018 Nov,110.9666667
243,Hyderabad,2018 Dec,133.3225806
244,Hyderabad,2019 Jan,133.2903226
245,Hyderabad,2019 Feb,113.25
246,Hyderabad,2019 Mar,106.1612903
247,Hyderabad,2019 Apr,94.8
248,Hyderabad,2019 May,113.4193548
249,Hyderabad,2019 Jun,64.66666667
250,Hyderabad,2019 Jul,48.09677419
251,Hyderabad,2019 Aug,57.25806452
252,Hyderabad,2019 Sep,49.96666667
253,Hyderabad,2019 Oct,78.51612903
254,Hyderabad,2019 Nov,137.9666667
255,Hyderabad,2019 Dec,131.3225806
256,Hyderabad,2020 Jan,104.5483871
257,Hyderabad,2020 Feb,94.96551724
258,Hyderabad,2020 Mar,78.74193548
259,Hyderabad,2020 Apr,65
260,Hyderabad,2020 May,79.35483871
261,Hyderabad,2020 Jun,47.06666667
262,Hyderabad,2020 Jul,48
263,Lucknow,2015 Mar,264.2727273
264,Lucknow,2015 Apr,118.0666667
265,Lucknow,2015 May,137
266,Lucknow,2015 Jun,149.6666667
267,Lucknow,2015 Jul,122.7096774
268,Lucknow,2015 Aug,105.516129
269,Lucknow,2015 Sep,130.4666667
270,Lucknow,2015 Oct,240.2258065
271,Lucknow,2015 Nov,397.7666667
272,Lucknow,2015 Dec,388.0645161
273,Lucknow,2016 Jan,362.516129
274,Lucknow,2016 Feb,322.3448276
275,Lucknow,2016 Mar,217.516129
276,Lucknow,2016 Apr,238.6333333
277,Lucknow,2016 May,185.8064516
278,Lucknow,2016 Jun,153.0666667
279,Lucknow,2016 Jul,112.4516129
280,Lucknow,2016 Aug,90.64516129
281,Lucknow,2016 Sep,105.7
282,Lucknow,2016 Oct,245.0322581
283,Lucknow,2016 Nov,385.6333333
284,Lucknow,2016 Dec,389.3225806
285,Lucknow,2017 Jan,330.5806452
286,Lucknow,2017 Feb,296.3928571
287,Lucknow,2017 Mar,247.0645161
288,Lucknow,2017 Apr,249.5
289,Lucknow,2017 May,252.2258065
290,Lucknow,2017 Jun,186.0333333
291,Lucknow,2017 Jul,77.29032258
292,Lucknow,2017 Aug,96.4516129
293,Lucknow,2017 Sep,105.8666667
294,Lucknow,2017 Oct,259.0645161
295,Lucknow,2017 Nov,383.1333333
296,Lucknow,2017 Dec,374.483871
297,Lucknow,2018 Jan,377.9677419
298,Lucknow,2018 Feb,317.7142857
299,Lucknow,2018 Mar,236.483871
300,Lucknow,2018 Apr,180.8333333
301,Lucknow,2018 May,255.6451613
302,Lucknow,2018 Jun,174.9333333
303,Lucknow,2018 Jul,97.41935484
304,Lucknow,2018 Aug,100.0322581
305,Lucknow,2018 Sep,107.6
306,Lucknow,2018 Oct,264.6129032
307,Lucknow,2018 Nov,351.6
308,Lucknow,2018 Dec,344.6774194
309,Lucknow,2019 Jan,315.516129
310,Lucknow,2019 Feb,243.0714286
311,Lucknow,2019 Mar,217.6451613
312,Lucknow,2019 Apr,217.7
313,Lucknow,2019 May,184.0967742
314,Lucknow,2019 Jun,167.7
315,Lucknow,2019 Jul,94.41935484
316,Lucknow,2019 Aug,90.32258065
317,Lucknow,2019 Sep,76.63333333
318,Lucknow,2019 Oct,205.3870968
319,Lucknow,2019 Nov,329.3666667
320,Lucknow,2019 Dec,292.1935484
321,Lucknow,2020 Jan,272.6451613
322,Lucknow,2020 Feb,216.6551724
323,Lucknow,2020 Mar,134
324,Lucknow,2020 Apr,106.7333333
325,Lucknow,2020 May,119.0967742
326,Lucknow,2020 Jun,96.5
327,Lucknow,2020 Jul,76
