,City,Date,AQI
1,Delhi,2015 W01,347
2,Delhi,2015 W02,358.4285714
3,Delhi,2015 W03,360
4,Delhi,2015 W04,326.1428571
5,Delhi,2015 W05,324.1428571
6,Delhi,2015 W06,316.1428571
7,Delhi,2015 W07,338.5714286
8,Delhi,2015 W08,331.1428571
9,Delhi,2015 W09,321
10,Delhi,2015 W10,230.4285714
11,Delhi,2015 W11,243.4285714
12,Delhi,2015 W12,216.7142857
13,Delhi,2015 W13,318.4285714
14,Delhi,2015 W14,259.5714286
15,Delhi,2015 W15,309.1428571
16,Delhi,2015 W16,302.8571429
17,Delhi,2015 W17,371.4285714
18,Delhi,2015 W18,281.5714286
19,Delhi,2015 W19,388
20,Delhi,2015 W20,341.5714286
21,Delhi,2015 W21,314.7142857
22,Delhi,2015 W22,361.8571429
23,Delhi,2015 W23,303.2857143
24,Delhi,2015 W24,274.5714286
25,Delhi,2015 W25,268.1428571
26,Delhi,2015 W26,209.2857143
27,Delhi,2015 W27,217.8571429
28,Delhi,2015 W28,223.2857143
29,Delhi,2015 W29,204.4285714
30,Delhi,2015 W30,178.4285714
31,Delhi,2015 W31,171.1428571
32,Delhi,2015 W32,222.4285714
33,Delhi,2015 W33,223.8571429
34,Delhi,2015 W34,194
35,Delhi,2015 W35,228
36,Delhi,2015 W36,274.1428571
37,Delhi,2015 W37,218.5714286
38,Delhi,2015 W38,229
39,Delhi,2015 W39,197.1428571
40,Delhi,2015 W40,252.2857143
41,Delhi,2015 W41,360.5714286
42,Delhi,2015 W42,290.8571429
43,Delhi,2015 W43,370.8571429
44,Delhi,2015 W44,311.8571429
45,Delhi,2015 W45,411.2857143
46,Delhi,2015 W46,420
47,Delhi,2015 W47,410.5714286
48,Delhi,2015 W48,374
49,Delhi,2015 W49,401.4285714
50,Delhi,2015 W50,397.1428571
51,Delhi,2015 W51,278.5714286
52,Delhi,2015 W52,342.2857143
53,Delhi,2015 W53,408.2857143
54,Delhi,2016 W01,496.5714286
55,Delhi,2016 W02,372
56,Delhi,2016 W03,438.2857143
57,Delhi,2016 W04,456.7142857
58,Delhi,2016 W05,332.1428571
59,Delhi,2016 W06,323.4285714
60,Delhi,2016 W07,300
61,Delhi,2016 W08,289.7142857
62,Delhi,2016 W09,302.5714286
63,Delhi,2016 W10,203.4285714
64,Delhi,2016 W11,188
65,Delhi,2016 W12,239.2857143
66,Delhi,2016 W13,266.8571429
67,Delhi,2016 W14,269.1428571
68,Delhi,2016 W15,259.2857143
69,Delhi,2016 W16,287.2857143
70,Delhi,2016 W17,340.4285714
71,Delhi,2016 W18,256.5714286
72,Delhi,2016 W19,255.8571429
73,Delhi,2016 W20,279.2857143
74,Delhi,2016 W21,295.4285714
75,Delhi,2016 W22,279.7142857
76,Delhi,2016 W23,245
77,Delhi,2016 W24,258.2857143
78,Delhi,2016 W25,218.8571429
79,Delhi,2016 W26,168.1428571
80,Delhi,2016 W27,165.5714286
81,Delhi,2016 W28,157.8571429
82,Delhi,2016 W29,196.4285714
83,Delhi,2016 W30,143.8571429
84,Delhi,2016 W31,142.8571429
85,Delhi,2016 W32,129.1428571
86,Delhi,2016 W33,201.1428571
87,Delhi,2016 W34,125.5714286
88,Delhi,2016 W35,160
89,Delhi,2016 W36,276
90,Delhi,2016 W37,207.8571429
91,Delhi,2016 W38,199.4285714
92,Delhi,2016 W39,226.1428571
93,Delhi,2016 W40,325.7142857
94,Delhi,2016 W41,396.5714286
95,Delhi,2016 W42,450.5714286
96,Delhi,2016 W43,495.2857143
97,Delhi,2016 W44,578.1428571
98,Delhi,2016 W45,522.5714286
99,Delhi,2016 W46,451.2857143
100,Delhi,2016 W47,403.7142857
